,desc,mfc,names,price,url,desc_split,descrip,heat,heat_lvl,ing
10,"

2017 is the Chinese ""Year of the Fire Cock"". In Chinese element theory each zodiac year is associated with one of five elements: Gold, Wood, Water, Fire, or Earth, which means that a Fire Cock comes once every 60-year cycle. Celebrate this Rooster's long awaited return with this fiery sweet chili sauce!
Heat Level: Extra Hot
Ingredients: ﻿Sweet Chile Sauce (Sugar, Water, Red Chiles, Distilled Vinegar, Garlic Salt, Xanthan Gum), Trinidad 7-Pot Chiles, Lime Juice.
5 oz
",CaJohn's, Fire Cock    ,8.99,https://heathotsauce.com/collections/all/products/fire-cock,"[2017 is the Chinese ""Year of the Fire Cock"". In Chinese element theory each zodiac year is associated with one of five elements: Gold, Wood, Water, Fire, or Earth, which means that a Fire Cock comes once every 60-year cycle. Celebrate this Rooster's long awaited return with this fiery sweet chili sauce!, Heat Level: Extra Hot, Ingredients: ﻿Sweet Chile Sauce (Sugar, Water, Red Chiles, Distilled Vinegar, Garlic Salt, Xanthan Gum), Trinidad 7-Pot Chiles, Lime Juice., 5 oz]","2017 is the Chinese ""Year of the Fire Cock"". In Chinese element theory each zodiac year is associated with one of five elements: Gold, Wood, Water, Fire, or Earth, which means that a Fire Cock comes once every 60-year cycle. Celebrate this Rooster's long awaited return with this fiery sweet chili sauce!",extra hot,extra hot,"Ingredients: ﻿Sweet Chile Sauce (Sugar, Water, Red Chiles, Distilled Vinegar, Garlic Salt, Xanthan Gum), Trinidad 7-Pot Chiles, Lime Juice."
11,"
Peachy Green is a blend of farm fresh Serrano and Jalapeno peppers, vine ripened peaches, perfectly blended with honey, vanilla, lemon, lime and pineapple juice. 
Heat Level: Medium
Ingredients: Fresh Serrano and Jalapeno peppers, peaches, bell peppers, vinegar, fresh scallions, honey, lemon, lime & pineapple juices, brown sugar, exotic spices, vanilla & saffron. 
5 oz
",Dirty Dick's, Dick's Peachy Green    ,6.99,https://heathotsauce.com/collections/all/products/dicks-peachy-green,"[Peachy Green is a blend of farm fresh Serrano and Jalapeno peppers, vine ripened peaches, perfectly blended with honey, vanilla, lemon, lime and pineapple juice. , Heat Level: Medium, Ingredients: Fresh Serrano and Jalapeno peppers, peaches, bell peppers, vinegar, fresh scallions, honey, lemon, lime & pineapple juices, brown sugar, exotic spices, vanilla & saffron. , 5 oz]","Peachy Green is a blend of farm fresh Serrano and Jalapeno peppers, vine ripened peaches, perfectly blended with honey, vanilla, lemon, lime and pineapple juice. ",medium,medium,"Fresh Serrano and Jalapeno peppers, peaches, bell peppers, vinegar, fresh scallions, honey, lemon, lime & pineapple juices, brown sugar, exotic spices, vanilla & saffron. "
12,"
This vinegar-free sauce is like Jak Jeckel's Gourmet Pepper Sauce but with an added kick. Habanero, Jalapeno, Chipotle, and Red Bell peppers are the base of this smoky and sweet sauce. 
Heat Level: Mild/Medium
Ingredients: Roasted Red Peppers, Jalapenos, Water, Habanero Peppers, Lime Juice, Paprika, Sea Salt, Chipotle Peppers, Pure Cane Sugar, Orange Peel, Garlic, Citric Acid, Jak Jeckel Seasoning Blend. 
5 oz
",Jak Jeckel, Red Sol    ,7.49,https://heathotsauce.com/collections/all/products/red-sol,"[This vinegar-free sauce is like Jak Jeckel's Gourmet Pepper Sauce but with an added kick. Habanero, Jalapeno, Chipotle, and Red Bell peppers are the base of this smoky and sweet sauce. , Heat Level: Mild/Medium, Ingredients: Roasted Red Peppers, Jalapenos, Water, Habanero Peppers, Lime Juice, Paprika, Sea Salt, Chipotle Peppers, Pure Cane Sugar, Orange Peel, Garlic, Citric Acid, Jak Jeckel Seasoning Blend. , 5 oz]","This vinegar-free sauce is like Jak Jeckel's Gourmet Pepper Sauce but with an added kick. Habanero, Jalapeno, Chipotle, and Red Bell peppers are the base of this smoky and sweet sauce. ",mild,mild,"Roasted Red Peppers, Jalapenos, Water, Habanero Peppers, Lime Juice, Paprika, Sea Salt, Chipotle Peppers, Pure Cane Sugar, Orange Peel, Garlic, Citric Acid, Jak Jeckel Seasoning Blend. "
13,"
Red Grams is a butterscotch and raspberry mustard sauce with an irresistible smooth up front flavor and a hint of Caribbean flair. The mellow sweetness of the butterscotch accents the fresh raspberry and still allows for the tanginess of the mustard and the soft tones of our signature jerk seasoning to satisfy your palette.
Heat Level: Mild
Ingredients: Brown mustard, yellow mustard, apple cider vinegar, raspberry preserves, butterscotch, Jalapeño Pepper, Cayenne Pepper, onion puree, salt, Worcestershire, garlic spices & sodium benzoate.
5 oz
",Jak Jeckel, Red Grams Mustard Sauce    ,7.49,https://heathotsauce.com/collections/all/products/red-grams-mustard-sauce,"[Red Grams is a butterscotch and raspberry mustard sauce with an irresistible smooth up front flavor and a hint of Caribbean flair. The mellow sweetness of the butterscotch accents the fresh raspberry and still allows for the tanginess of the mustard and the soft tones of our signature jerk seasoning to satisfy your palette., Heat Level: Mild, Ingredients: Brown mustard, yellow mustard, apple cider vinegar, raspberry preserves, butterscotch, Jalapeño Pepper, Cayenne Pepper, onion puree, salt, Worcestershire, garlic spices & sodium benzoate., 5 oz]",Red Grams is a butterscotch and raspberry mustard sauce with an irresistible smooth up front flavor and a hint of Caribbean flair. The mellow sweetness of the butterscotch accents the fresh raspberry and still allows for the tanginess of the mustard and the soft tones of our signature jerk seasoning to satisfy your palette.,mild,mild,"Ingredients: Brown mustard, yellow mustard, apple cider vinegar, raspberry preserves, butterscotch, Jalapeño Pepper, Cayenne Pepper, onion puree, salt, Worcestershire, garlic spices & sodium benzoate."
14,"
This straightforward extra hot sauce is made with Trinidad 7-Pot Chiles. These chiles are from the island country of Trinidad & Tobago, where the hottest of all natural spices originated.
Heat Level: Extra Hot
Ingredients: Trinidad 7-Pot Chiles, Vinegar, Sea Salt.
6.8 oz
",CaJohn's, Trinidad 7-Pot Elixir    ,7.99,https://heathotsauce.com/collections/all/products/trinidad-7-pot-elixir,"[This straightforward extra hot sauce is made with Trinidad 7-Pot Chiles. These chiles are from the island country of Trinidad & Tobago, where the hottest of all natural spices originated., Heat Level: Extra Hot, Ingredients: Trinidad 7-Pot Chiles, Vinegar, Sea Salt., 6.8 oz]","This straightforward extra hot sauce is made with Trinidad 7-Pot Chiles. These chiles are from the island country of Trinidad & Tobago, where the hottest of all natural spices originated.",extra hot,extra hot,"Ingredients: Trinidad 7-Pot Chiles, Vinegar, Sea Salt."
15,"




Tocino De Fuego is a fiery spanish bacon sauce, with a rich cilantro intro, which smoothly leads into an intense bacon flavor followed by a hint of toasted fennel, rosemary and generous habanero heat. It has a nice balance of salty and sweet and is rounded out with a hint of dried onion.
Heat Level: Medium
Ingredients: Water, Habanero, Cilantro, Granulated Sugar, Lime Juice, Paprika, Cane Vinegar, Garlic, Salt, Spices, Onion, Habanero, Black Pepper, Sodium Benzoate, Rosemary, Ham Flavor, Citric Acid, Garlic Powder, Fennel Seed. 
5 oz









",Jak Jeckel, Tocino De Fuego    ,7.49,https://heathotsauce.com/collections/all/products/tocino-de-fuego,"[Tocino De Fuego is a fiery spanish bacon sauce, with a rich cilantro intro, which smoothly leads into an intense bacon flavor followed by a hint of toasted fennel, rosemary and generous habanero heat. It has a nice balance of salty and sweet and is rounded out with a hint of dried onion., Heat Level: Medium, Ingredients: Water, Habanero, Cilantro, Granulated Sugar, Lime Juice, Paprika, Cane Vinegar, Garlic, Salt, Spices, Onion, Habanero, Black Pepper, Sodium Benzoate, Rosemary, Ham Flavor, Citric Acid, Garlic Powder, Fennel Seed. , 5 oz]","Tocino De Fuego is a fiery spanish bacon sauce, with a rich cilantro intro, which smoothly leads into an intense bacon flavor followed by a hint of toasted fennel, rosemary and generous habanero heat. It has a nice balance of salty and sweet and is rounded out with a hint of dried onion.",medium,medium,"Water, Habanero, Cilantro, Granulated Sugar, Lime Juice, Paprika, Cane Vinegar, Garlic, Salt, Spices, Onion, Habanero, Black Pepper, Sodium Benzoate, Rosemary, Ham Flavor, Citric Acid, Garlic Powder, Fennel Seed. "
16,"
A pleasing parallel to Aura Solanales, this sauce features the tartness of early summer’s fresh picked green Jalapeños.
Heat Level: Medium
Ingredients: Green Jalapeños, Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder.
5 oz
 
",The Brinery, Verde Solanales    ,7.99,https://heathotsauce.com/collections/all/products/verde-solanales,"[A pleasing parallel to Aura Solanales, this sauce features the tartness of early summer’s fresh picked green Jalapeños., Heat Level: Medium, Ingredients: Green Jalapeños, Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder., 5 oz,  ]","A pleasing parallel to Aura Solanales, this sauce features the tartness of early summer’s fresh picked green Jalapeños.",medium,medium,"Green Jalapeños, Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder."
17,"
A Louisiana style hot sauce capturing the warmth and flavor of sun ripened hot peppers. Medium hot and will not overpower, but enhance any meal.
Heat Level: Medium
Ingredients: Red Hot Peppers (jalapeño, cayenne, cherry bomb, serrano, fresno), Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder.
5 oz
An ode to Aura:
“Solar rays to nightshade leaves,
fruiting bodies to pepper mash;
Radiating warmth from star-shine to plate.”
",The Brinery, Aura Solanales    ,7.99,https://heathotsauce.com/collections/all/products/aura-solanales,"[A Louisiana style hot sauce capturing the warmth and flavor of sun ripened hot peppers. Medium hot and will not overpower, but enhance any meal., Heat Level: Medium, Ingredients: Red Hot Peppers (jalapeño, cayenne, cherry bomb, serrano, fresno), Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder., 5 oz, An ode to Aura:, “Solar rays to nightshade leaves,, fruiting bodies to pepper mash;, Radiating warmth from star-shine to plate.”]","A Louisiana style hot sauce capturing the warmth and flavor of sun ripened hot peppers. Medium hot and will not overpower, but enhance any meal.",medium,medium,"Red Hot Peppers (jalapeño, cayenne, cherry bomb, serrano, fresno), Distilled Vinegar, Filtered Water, Sea Salt, Garlic Powder."
18,"
A complex take on the classic taco-sauce style, made with fire roasted tomatoes, onion, garlic, and a nicely balanced blend of cayenne, pasilla, and ghost peppers, along with plenty of black pepper and a zesty lime finish.
Heat Level: Medium
Ingredients: Fire-Roasted Tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Apple Cider Vinegar, Water, Lime Juice, Sea Salt, Spices, Dehydrated Onion, Granulated Garlic, Ghost Pepper, Paprika.
8.5 oz
",Lucky Dog Hot Sauce, El Perro Afortunado Taco Sauce    ,9.49,https://heathotsauce.com/collections/all/products/el-perro-afortunado-taco-sauce,"[A complex take on the classic taco-sauce style, made with fire roasted tomatoes, onion, garlic, and a nicely balanced blend of cayenne, pasilla, and ghost peppers, along with plenty of black pepper and a zesty lime finish., Heat Level: Medium, Ingredients: Fire-Roasted Tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Apple Cider Vinegar, Water, Lime Juice, Sea Salt, Spices, Dehydrated Onion, Granulated Garlic, Ghost Pepper, Paprika., 8.5 oz]","A complex take on the classic taco-sauce style, made with fire roasted tomatoes, onion, garlic, and a nicely balanced blend of cayenne, pasilla, and ghost peppers, along with plenty of black pepper and a zesty lime finish.",medium,medium,"Fire-Roasted Tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Apple Cider Vinegar, Water, Lime Juice, Sea Salt, Spices, Dehydrated Onion, Granulated Garlic, Ghost Pepper, Paprika."
19,"
A concentrated habanero sauce with some serious heat!
Heat Level: Extra Hot
Ingredients: Habanero Peppers, Water, Tomato Paste, Natural Pepper Flavoring, Salt, & Spices.
7.5 oz
",Pain Is Good, Pain 100%    ,6.99,https://heathotsauce.com/collections/all/products/pain-100,"[A concentrated habanero sauce with some serious heat!, Heat Level: Extra Hot, Ingredients: Habanero Peppers, Water, Tomato Paste, Natural Pepper Flavoring, Salt, & Spices., 7.5 oz]",A concentrated habanero sauce with some serious heat!,extra hot,extra hot,"Habanero Peppers, Water, Tomato Paste, Natural Pepper Flavoring, Salt, & Spices."
20,"
A habanero sauce blended with chipotle, tomato, orange juice, and extra heat from pepper extract. As seen on Hot Ones! 
Heat Level: Extra Hot
Ingredients: Habaneros (habaneros, salt), Chipotle Puree (chipotles, water, salt, citric acid), Water, Orange Juice Concentrate, Natural Pepper Flavoring, Tomato Paste, Potassium Sorbate and Sodium Benzoate (to preserve freshness).
4 oz
",Da Bomb, Da' Bomb Beyond Insanity    ,7.99,https://heathotsauce.com/collections/all/products/da-bomb-beyond-insanity,"[A habanero sauce blended with chipotle, tomato, orange juice, and extra heat from pepper extract. As seen on Hot Ones! , Heat Level: Extra Hot, Ingredients: Habaneros (habaneros, salt), Chipotle Puree (chipotles, water, salt, citric acid), Water, Orange Juice Concentrate, Natural Pepper Flavoring, Tomato Paste, Potassium Sorbate and Sodium Benzoate (to preserve freshness)., 4 oz]","A habanero sauce blended with chipotle, tomato, orange juice, and extra heat from pepper extract. As seen on Hot Ones! ",extra hot,extra hot,"Habaneros (habaneros, salt), Chipotle Puree (chipotles, water, salt, citric acid), Water, Orange Juice Concentrate, Natural Pepper Flavoring, Tomato Paste, Potassium Sorbate and Sodium Benzoate (to preserve freshness)."
21,"
The original Mad Dog 357, named because it has 357,000 Scoville Heat Units. 
Heat Level: Extra Hot
Ingredients: Vinegar, Chile Extract, Evaporated Cane Juice, Habanero Peppers, 160,000 Scoville Cayenne Peppers, Spices, and Xanthan Gum.
5 oz
",Mad Dog, Mad Dog 357    ,8.99,https://heathotsauce.com/collections/all/products/mad-dog-357,"[The original Mad Dog 357, named because it has 357,000 Scoville Heat Units. , Heat Level: Extra Hot, Ingredients: Vinegar, Chile Extract, Evaporated Cane Juice, Habanero Peppers, 160,000 Scoville Cayenne Peppers, Spices, and Xanthan Gum., 5 oz]","The original Mad Dog 357, named because it has 357,000 Scoville Heat Units. ",extra hot,extra hot,"Vinegar, Chile Extract, Evaporated Cane Juice, Habanero Peppers, 160,000 Scoville Cayenne Peppers, Spices, and Xanthan Gum."
22,"
Blair's Sudden Death Sauce blends together habanero, cayenne, ginseng and honey and will heat things up in a heartbeat.
Heat Level: Hot
Ingredients: Habanero Peppers, Cayenne Peppers, Vinegar, Salt, Honey, Natural Flavor, Corn Starch, Garlic, Lime Juice Concentrate, Ascorbic Acid (Vitamin C), Ginseng, Spices.
5 oz
",Blair's, Sudden Death    ,9.99,https://heathotsauce.com/collections/all/products/sudden-death,"[Blair's Sudden Death Sauce blends together habanero, cayenne, ginseng and honey and will heat things up in a heartbeat., Heat Level: Hot, Ingredients: Habanero Peppers, Cayenne Peppers, Vinegar, Salt, Honey, Natural Flavor, Corn Starch, Garlic, Lime Juice Concentrate, Ascorbic Acid (Vitamin C), Ginseng, Spices., 5 oz]","Blair's Sudden Death Sauce blends together habanero, cayenne, ginseng and honey and will heat things up in a heartbeat.",hot,hot,"Ingredients: Habanero Peppers, Cayenne Peppers, Vinegar, Salt, Honey, Natural Flavor, Corn Starch, Garlic, Lime Juice Concentrate, Ascorbic Acid (Vitamin C), Ginseng, Spices."
23,"
A hot sauce so succulent, it should be slathered on everything edible. Feel Alive with Blair's Sweet Death, and savor the sweet heat of habanero, mango, and passion fruit. 
Heat Level: Mild
Ingredients: Vinegar, Corn Syrup, Honey, Mango, Passion Fruit, Sugar Cane, Habanero Pepper, Carrots, Modified Corn Starch, Tomato Paste, Onion, Lemon Juice, Salt, Cayenne Pepper, Ascorbic Acid, All Spice, Garlic, Cloves, and Black Pepper.
5 oz
",Blair's, Sweet Death Sauce    ,7.49,https://heathotsauce.com/collections/all/products/sweet-death-sauce,"[A hot sauce so succulent, it should be slathered on everything edible. Feel Alive with Blair's Sweet Death, and savor the sweet heat of habanero, mango, and passion fruit. , Heat Level: Mild, Ingredients: Vinegar, Corn Syrup, Honey, Mango, Passion Fruit, Sugar Cane, Habanero Pepper, Carrots, Modified Corn Starch, Tomato Paste, Onion, Lemon Juice, Salt, Cayenne Pepper, Ascorbic Acid, All Spice, Garlic, Cloves, and Black Pepper., 5 oz]","A hot sauce so succulent, it should be slathered on everything edible. Feel Alive with Blair's Sweet Death, and savor the sweet heat of habanero, mango, and passion fruit. ",mild,mild,"Ingredients: Vinegar, Corn Syrup, Honey, Mango, Passion Fruit, Sugar Cane, Habanero Pepper, Carrots, Modified Corn Starch, Tomato Paste, Onion, Lemon Juice, Salt, Cayenne Pepper, Ascorbic Acid, All Spice, Garlic, Cloves, and Black Pepper."
